CD_setor;V01006;V01007;V01008;V01009;V01010;V01011;V01012;V01013;V01014;V01015;V01016;V01017;V01018;V01019;V01020;V01021;V01022;V01023;V01024;V01025;V01026;V01027;V01028;V01029;V01030;V01031;V01032;V01033;V01034;V01035;V01036;V01037;V01038;V01039;V01040;V01041
352440205000162;40;19;21;0;0;3;4;X;X;4;X;X;X;X;3;3;X;0;X;3;X;3;X;X;X;3;3;5;4;X;5;6;5;X;3;X
352440205000163;840;420;420;27;38;35;35;37;34;63;62;43;28;18;41;27;23;37;36;33;55;66;48;34;20;68;65;58;72;73;67;118;128;91;62;38
352440205000164;458;211;247;7;13;20;8;14;9;27;37;18;40;18;10;14;17;11;13;18;35;40;26;38;25;17;27;37;19;27;27;62;77;44;78;43
352440205000165;475;225;250;9;12;10;13;13;18;36;29;24;35;26;4;16;13;12;11;13;42;32;37;41;29;13;28;23;25;24;31;78;61;61;76;55
352440205000166;477;244;233;13;44;25;16;5;4;21;69;29;13;5;15;19;29;11;6;5;33;72;22;12;9;28;63;54;27;11;9;54;141;51;25;14
352440205000167;626;287;339;10;15;17;15;19;15;42;38;35;47;34;12;15;16;13;25;16;37;53;50;57;45;22;30;33;28;44;31;79;91;85;104;79
352440205000170;414;187;227;14;17;14;15;10;15;26;27;19;16;14;9;17;17;13;11;17;31;36;22;34;20;23;34;31;28;21;32;57;63;41;50;34
352440205000172;524;236;288;5;14;13;15;17;14;32;38;21;39;28;11;11;10;12;16;14;25;52;50;43;44;16;25;23;27;33;28;57;90;71;82;72
352440205000173;585;264;321;17;13;19;20;22;14;30;42;30;31;26;11;13;11;27;27;13;36;59;38;33;53;28;26;30;47;49;27;66;101;68;64;79
352440205000174;547;256;291;11;17;10;16;19;16;40;28;30;37;32;6;17;12;18;28;11;36;32;42;48;41;17;34;22;34;47;27;76;60;72;85;73
352440205000185;372;192;180;13;14;12;8;17;13;25;34;23;22;11;7;8;10;16;13;12;31;32;26;14;11;20;22;22;24;30;25;56;66;49;36;22
352440205000187;765;376;389;18;23;17;33;33;26;41;53;58;43;31;20;25;20;24;27;24;54;53;63;42;37;38;48;37;57;60;50;95;106;121;85;68
352440205000195;839;394;445;22;27;28;23;29;30;65;60;39;51;20;22;25;31;43;26;26;67;71;47;54;33;44;52;59;66;55;56;132;131;86;105;53
352440205000196;891;441;450;24;27;39;35;36;35;76;55;61;39;14;27;26;33;32;38;25;74;59;64;43;29;51;53;72;67;74;60;150;114;125;82;43
352440205000197;918;458;460;31;33;27;34;42;38;59;80;56;33;25;21;30;31;34;41;37;71;64;57;51;23;52;63;58;68;83;75;130;144;113;84;48
352440205000198;606;296;310;20;12;23;24;17;24;50;44;39;24;19;18;21;24;14;22;24;50;37;25;47;28;38;33;47;38;39;48;100;81;64;71;47
352440205000199;1013;506;507;20;46;42;41;41;42;88;57;57;48;24;29;40;48;28;27;45;70;77;74;53;16;49;86;90;69;68;87;158;134;131;101;40
352440205000201;792;399;393;21;18;19;39;31;32;68;43;58;44;26;24;25;18;26;27;26;52;58;62;43;32;45;43;37;65;58;58;120;101;120;87;58
352440205000202;375;163;212;8;9;7;14;9;16;13;19;23;21;24;14;11;9;12;14;15;23;26;25;35;28;22;20;16;26;23;31;36;45;48;56;52
352440205000203;70;34;36;X;X;X;3;5;4;6;4;3;4;X;X;0;X;6;4;0;X;9;3;4;5;X;X;4;9;9;4;8;13;6;8;6
352440205000205;447;226;221;8;13;22;15;14;13;22;46;39;21;13;11;11;19;8;11;11;25;50;40;22;13;19;24;41;23;25;24;47;96;79;43;26
352440205000208;542;271;271;15;13;9;24;24;22;44;33;39;28;20;10;12;20;12;19;17;39;36;46;34;26;25;25;29;36;43;39;83;69;85;62;46
352440205000211;512;257;255;27;13;13;21;19;19;34;30;38;24;19;15;13;18;18;15;24;39;28;34;32;19;42;26;31;39;34;43;73;58;72;56;38
352440205000213;339;171;168;9;9;15;10;10;16;23;33;18;18;10;7;8;4;9;11;20;30;21;27;15;16;16;17;19;19;21;36;53;54;45;33;26
352440205000214;257;124;133;7;9;6;14;9;13;11;15;17;18;5;9;7;6;8;12;8;18;14;20;24;7;16;16;12;22;21;21;29;29;37;42;12
352440205000217;649;303;346;21;18;22;29;15;25;45;48;35;23;22;15;22;26;32;23;21;59;51;42;32;23;36;40;48;61;38;46;104;99;77;55;45
352440205000220;476;205;271;7;9;8;9;14;8;29;27;30;34;30;7;11;7;16;17;9;33;39;43;49;40;14;20;15;25;31;17;62;66;73;83;70
352440205000222;611;282;329;7;11;22;18;25;20;33;46;39;37;24;16;16;14;27;20;20;38;50;54;49;25;23;27;36;45;45;40;71;96;93;86;49
352440205000225;850;418;432;26;31;35;28;37;29;59;63;66;29;15;24;25;23;36;34;26;69;82;61;30;22;50;56;58;64;71;55;128;145;127;59;37
352440205000232;892;420;472;28;31;40;29;39;33;48;66;62;33;11;34;41;36;40;34;34;56;74;59;47;17;62;72;76;69;73;67;104;140;121;80;28
352440205000234;387;211;176;11;14;14;10;11;14;32;35;26;24;20;5;16;15;12;10;10;30;22;20;19;17;16;30;29;22;21;24;62;57;46;43;37
